id_edificacion,tipo_resultado,area_lidar_m2,area_catastro_m2,area_discrepancia_m2,porcentaje_coincidencia,diferencia_superficies_m2,distancia_centroides_m
CAT_171,posible_demolicion,0.0,48.51,48.51,0.0,-48.51,0.0
CAT_172,posible_demolicion,0.0,31.25,31.25,0.0,-31.25,0.0
CAT_173,posible_demolicion,0.0,67.46,67.46,0.0,-67.46,0.0
CAT_174,posible_demolicion,0.0,65.49,65.49,0.0,-65.49,0.0
CAT_175,posible_demolicion,0.0,1.15,1.15,0.0,-1.15,0.0
CAT_176,posible_demolicion,0.0,11.16,11.16,0.0,-11.16,0.0
CAT_177,posible_demolicion,0.0,4.5,4.5,0.0,-4.5,0.0
CAT_178,posible_demolicion,0.0,64.72,64.72,0.0,-64.72,0.0
CAT_179,posible_demolicion,0.0,51.14,51.14,0.0,-51.14,0.0
CAT_180,posible_demolicion,0.0,16.98,16.98,0.0,-16.98,0.0
CAT_181,posible_demolicion,0.0,13.86,13.86,0.0,-13.86,0.0
CAT_182,posible_demolicion,0.0,6.68,6.68,0.0,-6.68,0.0
CAT_183,posible_demolicion,0.0,9.76,9.76,0.0,-9.76,0.0
CAT_184,posible_demolicion,0.0,28.58,28.58,0.0,-28.58,0.0
CAT_185,posible_demolicion,0.0,64.04,64.04,0.0,-64.04,0.0
CAT_186,posible_demolicion,0.0,4.17,4.17,0.0,-4.17,0.0
CAT_187,posible_demolicion,0.0,25.46,25.46,0.0,-25.46,0.0
CAT_188,posible_demolicion,0.0,76.28,76.28,0.0,-76.28,0.0
CAT_189,posible_demolicion,0.0,4.66,4.66,0.0,-4.66,0.0
CAT_190,posible_demolicion,0.0,15.5,15.5,0.0,-15.5,0.0
CAT_191,posible_demolicion,0.0,70.87,70.87,0.0,-70.87,0.0
CAT_192,posible_demolicion,0.0,76.87,76.87,0.0,-76.87,0.0
CAT_193,posible_demolicion,0.0,12.52,12.52,0.0,-12.52,0.0
CAT_194,posible_demolicion,0.0,19.52,19.52,0.0,-19.52,0.0
CAT_195,posible_demolicion,0.0,162.68,162.68,0.0,-162.68,0.0
CAT_196,posible_demolicion,0.0,15.14,15.14,0.0,-15.14,0.0
CAT_197,posible_demolicion,0.0,305.38,305.38,0.0,-305.38,0.0
CAT_198,posible_demolicion,0.0,55.22,55.22,0.0,-55.22,0.0
CAT_199,posible_demolicion,0.0,470.36,470.36,0.0,-470.36,0.0
CAT_200,posible_demolicion,0.0,28.89,28.89,0.0,-28.89,0.0
CAT_201,posible_demolicion,0.0,11.93,11.93,0.0,-11.93,0.0
CAT_202,posible_demolicion,0.0,19.25,19.25,0.0,-19.25,0.0
CAT_203,posible_demolicion,0.0,65.54,65.54,0.0,-65.54,0.0
CAT_204,posible_demolicion,0.0,129.47,129.47,0.0,-129.47,0.0
CAT_205,posible_demolicion,0.0,7.01,7.01,0.0,-7.01,0.0
CAT_206,posible_demolicion,0.0,24.78,24.78,0.0,-24.78,0.0
CAT_207,posible_demolicion,0.0,69.1,69.1,0.0,-69.1,0.0
CAT_208,posible_demolicion,0.0,17.23,17.23,0.0,-17.23,0.0
CAT_209,posible_demolicion,0.0,63.89,63.89,0.0,-63.89,0.0
CAT_210,posible_demolicion,0.0,16.51,16.51,0.0,-16.51,0.0
CAT_211,posible_demolicion,0.0,10.7,10.7,0.0,-10.7,0.0
CAT_212,posible_demolicion,0.0,67.16,67.16,0.0,-67.16,0.0
